business_name,phone_e164,city,category,demo_url,message
Rook and Raven Home Services,+17789667655,,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/rook-and-raven-home-services/,"Hi, it's Jag - I build websites for BC businesses & built Rook and Raven Home Services a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/rook-and-raven-home-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
M. Griffin Ltd1,+12503825159,Victoria,Plumber,https://jaggyai.github.io/bc-demos/victoria/plumbers/m-griffin-ltd/,"Hi, it's Jag - I build websites for Victoria businesses & built M. Griffin Ltd1 a free demo: https://jaggyai.github.io/bc-demos/victoria/plumbers/m-griffin-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Solutions Plumbing,+12508846563,,Plumber,https://jaggyai.github.io/bc-demos/bc/plumbers/solutions-plumbing/,"Hi, it's Jag - I build websites for BC businesses & built Solutions Plumbing a free demo: https://jaggyai.github.io/bc-demos/bc/plumbers/solutions-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
By Design Plumbing & Heating,+12505076857,Victoria,Plumber,https://jaggyai.github.io/bc-demos/victoria/plumbers/by-design-plumbing-heating/,"Hi, it's Jag - I build websites for Victoria businesses & built By Design Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/victoria/plumbers/by-design-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
ParkerDean - Plumbing Done Right,+12509780001,Victoria,Plumber,https://jaggyai.github.io/bc-demos/victoria/plumbers/parkerdean-plumbing-done-right/,"Hi, it's Jag - I build websites for Victoria businesses & built ParkerDean - Plumbing Done Right a free demo: https://jaggyai.github.io/bc-demos/victoria/plumbers/parkerdean-plumbing-done-right/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Malahat Plumbing & Gas,+12505805810,Victoria,Plumber,https://jaggyai.github.io/bc-demos/victoria/plumbers/malahat-plumbing-gas/,"Hi, it's Jag - I build websites for Victoria businesses & built Malahat Plumbing & Gas a free demo: https://jaggyai.github.io/bc-demos/victoria/plumbers/malahat-plumbing-gas/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Southern Comfort Renovations,+17786772718,Victoria,Interior construction contractor,https://jaggyai.github.io/bc-demos/victoria/interior-design/southern-comfort-renovations/,"Hi, it's Jag - I build websites for Victoria businesses & built Southern Comfort Renovations a free demo: https://jaggyai.github.io/bc-demos/victoria/interior-design/southern-comfort-renovations/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Backyard Pros – Handyman & Fountains,+16726610710,,Handyman/Handywoman/Handyperson,https://jaggyai.github.io/bc-demos/bc/handyman/backyard-pros-handyman-fountains/,"Hi, it's Jag - I build websites for BC businesses & built Backyard Pros – Handyman & Fountains a free demo: https://jaggyai.github.io/bc-demos/bc/handyman/backyard-pros-handyman-fountains/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Fernwood Auto Service,+12503854933,Victoria,Auto repair shop,https://jaggyai.github.io/bc-demos/victoria/local-business/fernwood-auto-service/,"Hi, it's Jag - I build websites for Victoria businesses & built Fernwood Auto Service a free demo: https://jaggyai.github.io/bc-demos/victoria/local-business/fernwood-auto-service/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Verda Construction,+12509865826,Victoria,Siding contractor,https://jaggyai.github.io/bc-demos/victoria/fence-deck/verda-construction/,"Hi, it's Jag - I build websites for Victoria businesses & built Verda Construction a free demo: https://jaggyai.github.io/bc-demos/victoria/fence-deck/verda-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
