business_name,phone_e164,city,category,demo_url,message
Main Street Electric,+17787510741,Burnaby,Contractor,https://jaggyai.github.io/bc-demos/burnaby/contractors/main-street-electric/,"Hi, it's Jag - I build websites for Burnaby businesses & built Main Street Electric a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/main-street-electric/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Deltec Electric,+16042995454,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/deltec-electric/,"Hi, it's Jag - I build websites for Burnaby businesses & built Deltec Electric a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/deltec-electric/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Core Electric Services,+16042910609,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/core-electric-services/,"Hi, it's Jag - I build websites for Burnaby businesses & built Core Electric Services a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/core-electric-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Happyman Electric Ltd.,+17782319385,Burnaby,Electrical installation service,https://jaggyai.github.io/bc-demos/burnaby/electricians/happyman-electric-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Happyman Electric Ltd. a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/happyman-electric-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Eclipse Electric Ltd,+16048734181,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/eclipse-electric-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Eclipse Electric Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/eclipse-electric-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
House Pack Audio and video electronic service,+12367777594,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/house-pack-audio-and-video-electronic-service/,"Hi, it's Jag - I build websites for Burnaby businesses & built House Pack Audio and video electronic service a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/house-pack-audio-and-video-electronic-service/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
SMT electric ltd,+16047500119,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/smt-electric-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built SMT electric ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/smt-electric-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Priority Electric Ltd,+16042982466,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/priority-electric-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Priority Electric Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/priority-electric-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Beisit Electric Corp (Canada),+16048180968,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/beisit-electric-corp-canada/,"Hi, it's Jag - I build websites for Burnaby businesses & built Beisit Electric Corp (Canada) a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/beisit-electric-corp-canada/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Dynamo Organizing,+16728001447,Burnaby,Professional organizer,https://jaggyai.github.io/bc-demos/burnaby/local-business/dynamo-organizing/,"Hi, it's Jag - I build websites for Burnaby businesses & built Dynamo Organizing a free demo: https://jaggyai.github.io/bc-demos/burnaby/local-business/dynamo-organizing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Bright Road Electric Ltd.,+17789520239,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/bright-road-electric-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Bright Road Electric Ltd. a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/bright-road-electric-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
EV TEC BC Pros,+17788914005,Burnaby,Electrical installation service,https://jaggyai.github.io/bc-demos/burnaby/electricians/ev-tec-bc-pros/,"Hi, it's Jag - I build websites for Burnaby businesses & built EV TEC BC Pros a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/ev-tec-bc-pros/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Vikor Electric Inc,+16049318363,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/vikor-electric-inc/,"Hi, it's Jag - I build websites for Burnaby businesses & built Vikor Electric Inc a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/vikor-electric-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Double Counseling Electrical Services,+17789020549,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/double-counseling-electrical-services/,"Hi, it's Jag - I build websites for Burnaby businesses & built Double Counseling Electrical Services a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/double-counseling-electrical-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Forest Electrical (1981) Ltd,+16042945756,Burnaby,Electrician,https://jaggyai.github.io/bc-demos/burnaby/electricians/forest-electrical-1981-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Forest Electrical (1981) Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/forest-electrical-1981-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Impeccable Homestay Electrical,+17787177358,Burnaby,Homestay,https://jaggyai.github.io/bc-demos/burnaby/real-estate/impeccable-homestay-electrical/,"Hi, it's Jag - I build websites for Burnaby businesses & built Impeccable Homestay Electrical a free demo: https://jaggyai.github.io/bc-demos/burnaby/real-estate/impeccable-homestay-electrical/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
MDE Electrical Mechanical Contractors Ltd.,+16042911995,Burnaby,Contractor,https://jaggyai.github.io/bc-demos/burnaby/contractors/mde-electrical-mechanical-contractors-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built MDE Electrical Mechanical Contractors Ltd. a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/mde-electrical-mechanical-contractors-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Venus Electro Mechanic ltd,+16042916469,Burnaby,Auto electrical service,https://jaggyai.github.io/bc-demos/burnaby/electricians/venus-electro-mechanic-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Venus Electro Mechanic ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/electricians/venus-electro-mechanic-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Electrical Inspectors’ Association,+16042944123,Burnaby,Association / Organization,https://jaggyai.github.io/bc-demos/burnaby/local-business/electrical-inspectors-association/,"Hi, it's Jag - I build websites for Burnaby businesses & built Electrical Inspectors’ Association a free demo: https://jaggyai.github.io/bc-demos/burnaby/local-business/electrical-inspectors-association/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Luxx Construction and General Contracting,+17789185939,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/luxx-construction-and-general-contracting/,"Hi, it's Jag - I build websites for Burnaby businesses & built Luxx Construction and General Contracting a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/luxx-construction-and-general-contracting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Molina General Construction Services Ltd,+16043548929,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/molina-general-construction-services-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Molina General Construction Services Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/molina-general-construction-services-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Cotton Bros. Contracting Ltd,+16044352020,Burnaby,Excavating contractor,https://jaggyai.github.io/bc-demos/burnaby/excavating/cotton-bros-contracting-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Cotton Bros. Contracting Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/excavating/cotton-bros-contracting-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Wefix Contracting Inc,+16045151744,Burnaby,General contractor,https://jaggyai.github.io/bc-demos/burnaby/contractors/wefix-contracting-inc/,"Hi, it's Jag - I build websites for Burnaby businesses & built Wefix Contracting Inc a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/wefix-contracting-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
LPS Contracting Inc,+16042980759,Burnaby,Dry wall contractor,https://jaggyai.github.io/bc-demos/burnaby/drywall/lps-contracting-inc/,"Hi, it's Jag - I build websites for Burnaby businesses & built LPS Contracting Inc a free demo: https://jaggyai.github.io/bc-demos/burnaby/drywall/lps-contracting-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Star Developments Ltd,+16042997708,Burnaby,General contractor,https://jaggyai.github.io/bc-demos/burnaby/contractors/star-developments-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Star Developments Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/star-developments-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
RMA Development,+16042402935,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/rma-development/,"Hi, it's Jag - I build websites for Burnaby businesses & built RMA Development a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/rma-development/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
IM Concrete Finishing Services Ltd.,+17786821480,Burnaby,Concrete contractor,https://jaggyai.github.io/bc-demos/burnaby/concrete/im-concrete-finishing-services-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built IM Concrete Finishing Services Ltd. a free demo: https://jaggyai.github.io/bc-demos/burnaby/concrete/im-concrete-finishing-services-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
"The Bobcat Guy, Excavation, Drainage, Backfill and Landscaping",+17787916453,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/the-bobcat-guy-excavation-drainage-backfill-and-landscaping/,"Hi, it's Jag - I build websites for Burnaby businesses & built The Bobcat Guy, Excavation, Drainage, Backfill and Landscaping a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/the-bobcat-guy-excavation-drainage-backfill-and-landscaping/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Miyagi Concrete-Repair-Burnaby,+16048094869,Burnaby,Contractor,https://jaggyai.github.io/bc-demos/burnaby/contractors/miyagi-concrete-repair-burnaby/,"Hi, it's Jag - I build websites for Burnaby businesses & built Miyagi Concrete-Repair-Burnaby a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/miyagi-concrete-repair-burnaby/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
RPM Concrete Coring & Cutting,+17782275521,Burnaby,Concrete contractor,https://jaggyai.github.io/bc-demos/burnaby/concrete/rpm-concrete-coring-cutting/,"Hi, it's Jag - I build websites for Burnaby businesses & built RPM Concrete Coring & Cutting a free demo: https://jaggyai.github.io/bc-demos/burnaby/concrete/rpm-concrete-coring-cutting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
STC INC FLOORING,+12365094276,Burnaby,Flooring contractor,https://jaggyai.github.io/bc-demos/burnaby/flooring/stc-inc-flooring/,"Hi, it's Jag - I build websites for Burnaby businesses & built STC INC FLOORING a free demo: https://jaggyai.github.io/bc-demos/burnaby/flooring/stc-inc-flooring/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Violet Fountain Design & Build,+17783257159,Burnaby,Remodeler,https://jaggyai.github.io/bc-demos/burnaby/interior-design/violet-fountain-design-build/,"Hi, it's Jag - I build websites for Burnaby businesses & built Violet Fountain Design & Build a free demo: https://jaggyai.github.io/bc-demos/burnaby/interior-design/violet-fountain-design-build/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Oriental Lawn Sprinklers,+16042302328,Burnaby,Lawn sprinkler system contractor,https://jaggyai.github.io/bc-demos/burnaby/landscapers/oriental-lawn-sprinklers/,"Hi, it's Jag - I build websites for Burnaby businesses & built Oriental Lawn Sprinklers a free demo: https://jaggyai.github.io/bc-demos/burnaby/landscapers/oriental-lawn-sprinklers/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Seymour Construction Ltd.,+16049299203,Burnaby,Excavating contractor,https://jaggyai.github.io/bc-demos/burnaby/excavating/seymour-construction-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Seymour Construction Ltd. a free demo: https://jaggyai.github.io/bc-demos/burnaby/excavating/seymour-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Conforz Construction Ltd.,+16045446031,Burnaby,Excavating contractor,https://jaggyai.github.io/bc-demos/burnaby/excavating/conforz-construction-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Conforz Construction Ltd. a free demo: https://jaggyai.github.io/bc-demos/burnaby/excavating/conforz-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Qiyam Demolition & Disposal,+17789529244,Burnaby,Demolition contractor,https://jaggyai.github.io/bc-demos/burnaby/excavating/qiyam-demolition-disposal/,"Hi, it's Jag - I build websites for Burnaby businesses & built Qiyam Demolition & Disposal a free demo: https://jaggyai.github.io/bc-demos/burnaby/excavating/qiyam-demolition-disposal/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
BOWAY CONSTRUCTION LTD.,+16044453806,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/boway-construction-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built BOWAY CONSTRUCTION LTD. a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/boway-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Joban Construction & Renovation,+16045128196,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/joban-construction-renovation/,"Hi, it's Jag - I build websites for Burnaby businesses & built Joban Construction & Renovation a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/joban-construction-renovation/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Northwest Coast Development Ltd.,+16042908762,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/northwest-coast-development-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Northwest Coast Development Ltd. a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/northwest-coast-development-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Construcción pretel,+16724725106,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/construcci-n-pretel/,"Hi, it's Jag - I build websites for Burnaby businesses & built Construcción pretel a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/construcci-n-pretel/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
ACAB Construction,+16479995778,Burnaby,Construction company,https://jaggyai.github.io/bc-demos/burnaby/contractors/acab-construction/,"Hi, it's Jag - I build websites for Burnaby businesses & built ACAB Construction a free demo: https://jaggyai.github.io/bc-demos/burnaby/contractors/acab-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Quetzali flooring LTD,+16047547206,Burnaby,Flooring contractor,https://jaggyai.github.io/bc-demos/burnaby/flooring/quetzali-flooring-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Quetzali flooring LTD a free demo: https://jaggyai.github.io/bc-demos/burnaby/flooring/quetzali-flooring-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Greenline Landscaping Ltd,+16045223863,Burnaby,Landscaper,https://jaggyai.github.io/bc-demos/burnaby/landscapers/greenline-landscaping-ltd/,"Hi, it's Jag - I build websites for Burnaby businesses & built Greenline Landscaping Ltd a free demo: https://jaggyai.github.io/bc-demos/burnaby/landscapers/greenline-landscaping-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
