business_name,phone_e164,city,category,demo_url,message
Fred and Sons Plumbing Ltd,+16048196355,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/fred-and-sons-plumbing-ltd/,"Hi, it's Jag - I build websites for Chilliwack businesses & built Fred and Sons Plumbing Ltd a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/fred-and-sons-plumbing-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
4143 Plumbing & Heating,+16048614143,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/4143-plumbing-heating/,"Hi, it's Jag - I build websites for Chilliwack businesses & built 4143 Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/4143-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Hardus Plumbing,+16047989536,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/hardus-plumbing/,"Hi, it's Jag - I build websites for Chilliwack businesses & built Hardus Plumbing a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/hardus-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
TPS The Plumbing Shop,+16047955665,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/tps-the-plumbing-shop/,"Hi, it's Jag - I build websites for Chilliwack businesses & built TPS The Plumbing Shop a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/tps-the-plumbing-shop/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
24 Hour Plumbing & Heating,+16044098575,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/24-hour-plumbing-heating/,"Hi, it's Jag - I build websites for Chilliwack businesses & built 24 Hour Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/24-hour-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
John's Plumbing Services,+17786846150,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/johns-plumbing-services/,"Hi, it's Jag - I build websites for Chilliwack businesses & built John's Plumbing Services a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/johns-plumbing-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Valhalla Plumbing and Heating,+16047988294,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/valhalla-plumbing-and-heating/,"Hi, it's Jag - I build websites for Chilliwack businesses & built Valhalla Plumbing and Heating a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/valhalla-plumbing-and-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Bathe Renovation and Plumbing LTD,+16043160018,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/bathe-renovation-and-plumbing-ltd/,"Hi, it's Jag - I build websites for Chilliwack businesses & built Bathe Renovation and Plumbing LTD a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/bathe-renovation-and-plumbing-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Interfaced Plumbing Solutions Ltd.,+16047996084,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/interfaced-plumbing-solutions-ltd/,"Hi, it's Jag - I build websites for Chilliwack businesses & built Interfaced Plumbing Solutions Ltd. a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/interfaced-plumbing-solutions-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Dial Plumbing,+16048585667,Chilliwack,Plumber,https://jaggyai.github.io/bc-demos/chilliwack/plumbers/dial-plumbing/,"Hi, it's Jag - I build websites for Chilliwack businesses & built Dial Plumbing a free demo: https://jaggyai.github.io/bc-demos/chilliwack/plumbers/dial-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
