business_name,phone_e164,city,category,demo_url,message
Ports Plumbing,+16043412341,Kelowna,Plumber,https://jaggyai.github.io/bc-demos/kelowna/plumbers/ports-plumbing/,"Hi, it's Jag - I build websites for Kelowna businesses & built Ports Plumbing a free demo: https://jaggyai.github.io/bc-demos/kelowna/plumbers/ports-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Nate's Plumbing and Gas,+12503175966,Kelowna,Plumber,https://jaggyai.github.io/bc-demos/kelowna/plumbers/nates-plumbing-and-gas/,"Hi, it's Jag - I build websites for Kelowna businesses & built Nate's Plumbing and Gas a free demo: https://jaggyai.github.io/bc-demos/kelowna/plumbers/nates-plumbing-and-gas/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Anderson Plumbing and Gas Fitting,+12508593548,Kelowna,Plumber,https://jaggyai.github.io/bc-demos/kelowna/plumbers/anderson-plumbing-and-gas-fitting/,"Hi, it's Jag - I build websites for Kelowna businesses & built Anderson Plumbing and Gas Fitting a free demo: https://jaggyai.github.io/bc-demos/kelowna/plumbers/anderson-plumbing-and-gas-fitting/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
All Clear Jetting & Drain Clng,+12507643093,Kelowna,Plumber,https://jaggyai.github.io/bc-demos/kelowna/plumbers/all-clear-jetting-drain-clng/,"Hi, it's Jag - I build websites for Kelowna businesses & built All Clear Jetting & Drain Clng a free demo: https://jaggyai.github.io/bc-demos/kelowna/plumbers/all-clear-jetting-drain-clng/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
B T Plumbing,+12507643650,Kelowna,Plumber,https://jaggyai.github.io/bc-demos/kelowna/plumbers/b-t-plumbing/,"Hi, it's Jag - I build websites for Kelowna businesses & built B T Plumbing a free demo: https://jaggyai.github.io/bc-demos/kelowna/plumbers/b-t-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
De Man On Demand Plumbing,+12508084567,Kelowna,Plumber,https://jaggyai.github.io/bc-demos/kelowna/plumbers/de-man-on-demand-plumbing/,"Hi, it's Jag - I build websites for Kelowna businesses & built De Man On Demand Plumbing a free demo: https://jaggyai.github.io/bc-demos/kelowna/plumbers/de-man-on-demand-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Limebee Plumbing,+12508592171,Kelowna,Plumber,https://jaggyai.github.io/bc-demos/kelowna/plumbers/limebee-plumbing/,"Hi, it's Jag - I build websites for Kelowna businesses & built Limebee Plumbing a free demo: https://jaggyai.github.io/bc-demos/kelowna/plumbers/limebee-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Al's Plumbing Services,+12503179310,Kelowna,Plumber,https://jaggyai.github.io/bc-demos/kelowna/plumbers/als-plumbing-services/,"Hi, it's Jag - I build websites for Kelowna businesses & built Al's Plumbing Services a free demo: https://jaggyai.github.io/bc-demos/kelowna/plumbers/als-plumbing-services/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
X&Y Plumbing,+17788214226,Kelowna,Wedding photographer,https://jaggyai.github.io/bc-demos/kelowna/local-business/x-y-plumbing/,"Hi, it's Jag - I build websites for Kelowna businesses & built X&Y Plumbing a free demo: https://jaggyai.github.io/bc-demos/kelowna/local-business/x-y-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Urban Impact flooring and tile,+12508089540,Kelowna,Flooring contractor,https://jaggyai.github.io/bc-demos/kelowna/flooring/urban-impact-flooring-and-tile/,"Hi, it's Jag - I build websites for Kelowna businesses & built Urban Impact flooring and tile a free demo: https://jaggyai.github.io/bc-demos/kelowna/flooring/urban-impact-flooring-and-tile/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
