business_name,phone_e164,city,category,demo_url,message
Larry's Plumbing and Heating ltd.,+12509615995,Prince George,Plumber,https://jaggyai.github.io/bc-demos/prince-george/plumbers/larrys-plumbing-and-heating-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Larry's Plumbing and Heating ltd. a free demo: https://jaggyai.github.io/bc-demos/prince-george/plumbers/larrys-plumbing-and-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
R H Jones & Son Mechanical Ltd,+12505647272,Prince George,Plumber,https://jaggyai.github.io/bc-demos/prince-george/plumbers/r-h-jones-son-mechanical-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built R H Jones & Son Mechanical Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/plumbers/r-h-jones-son-mechanical-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Hayer Homes Ltd,+12509640040,Prince George,Construction company,https://jaggyai.github.io/bc-demos/prince-george/contractors/hayer-homes-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Hayer Homes Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/contractors/hayer-homes-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Top Corner Plumbing & Heating,+12509610238,Prince George,Plumber,https://jaggyai.github.io/bc-demos/prince-george/plumbers/top-corner-plumbing-heating/,"Hi, it's Jag - I build websites for Prince George businesses & built Top Corner Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/prince-george/plumbers/top-corner-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Flowmasters Plumbing & Drain Service,+12506144575,Prince George,Plumber,https://jaggyai.github.io/bc-demos/prince-george/plumbers/flowmasters-plumbing-drain-service/,"Hi, it's Jag - I build websites for Prince George businesses & built Flowmasters Plumbing & Drain Service a free demo: https://jaggyai.github.io/bc-demos/prince-george/plumbers/flowmasters-plumbing-drain-service/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Prince George Drain and Sewer Ltd,+12505627667,Prince George,Plumber,https://jaggyai.github.io/bc-demos/prince-george/plumbers/prince-george-drain-and-sewer-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Prince George Drain and Sewer Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/plumbers/prince-george-drain-and-sewer-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Prince George Restorations,+17782812407,Prince George,Water damage restoration service,https://jaggyai.github.io/bc-demos/prince-george/handyman/prince-george-restorations/,"Hi, it's Jag - I build websites for Prince George businesses & built Prince George Restorations a free demo: https://jaggyai.github.io/bc-demos/prince-george/handyman/prince-george-restorations/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Home Plumbing,+12506131777,Prince George,Plumber,https://jaggyai.github.io/bc-demos/prince-george/plumbers/home-plumbing/,"Hi, it's Jag - I build websites for Prince George businesses & built Home Plumbing a free demo: https://jaggyai.github.io/bc-demos/prince-george/plumbers/home-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Able Plumbing & Heating,+12509629875,Prince George,Plumber,https://jaggyai.github.io/bc-demos/prince-george/plumbers/able-plumbing-heating/,"Hi, it's Jag - I build websites for Prince George businesses & built Able Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/prince-george/plumbers/able-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Apollo Electric Ltd,+12509624996,Prince George,Electrician,https://jaggyai.github.io/bc-demos/prince-george/electricians/apollo-electric-ltd/,"Hi, it's Jag - I build websites for Prince George businesses & built Apollo Electric Ltd a free demo: https://jaggyai.github.io/bc-demos/prince-george/electricians/apollo-electric-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
