business_name,phone_e164,city,category,demo_url,message
Crestwood Plumbing & Heating,+16042789558,Richmond,Plumber,https://jaggyai.github.io/bc-demos/richmond/plumbers/crestwood-plumbing-heating/,"Hi, it's Jag - I build websites for Richmond businesses & built Crestwood Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/crestwood-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
pacific peak plumbing,+17788618356,Richmond,Plumber,https://jaggyai.github.io/bc-demos/richmond/plumbers/pacific-peak-plumbing/,"Hi, it's Jag - I build websites for Richmond businesses & built pacific peak plumbing a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/pacific-peak-plumbing/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Urban Pipe Co.,+16049029067,Richmond,Plumber,https://jaggyai.github.io/bc-demos/richmond/plumbers/urban-pipe-co/,"Hi, it's Jag - I build websites for Richmond businesses & built Urban Pipe Co. a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/urban-pipe-co/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Corona Plumbing & Heating Ltd,+16042773240,Richmond,Plumber,https://jaggyai.github.io/bc-demos/richmond/plumbers/corona-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built Corona Plumbing & Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/corona-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Richmond's Westwind Home Improvement,+17788863186,Richmond,Bathroom remodeler,https://jaggyai.github.io/bc-demos/richmond/interior-design/richmonds-westwind-home-improvement/,"Hi, it's Jag - I build websites for Richmond businesses & built Richmond's Westwind Home Improvement a free demo: https://jaggyai.github.io/bc-demos/richmond/interior-design/richmonds-westwind-home-improvement/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
速达冷暖，水暖，空调，公寓热泵維修更換,+17788861298,Richmond,Plumber,https://jaggyai.github.io/bc-demos/richmond/plumbers/business/,"Hi, it's Jag - I build websites for Richmond businesses & built 速达冷暖，水暖，空调，公寓热泵維修更換 a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/business/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
valuco enterprises ltd,+17788637100,Richmond,Construction company,https://jaggyai.github.io/bc-demos/richmond/contractors/valuco-enterprises-ltd/,"Hi, it's Jag - I build websites for Richmond businesses & built valuco enterprises ltd a free demo: https://jaggyai.github.io/bc-demos/richmond/contractors/valuco-enterprises-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
DrainBusters Plumbing Squad,+16043478220,Richmond,Plumber,https://jaggyai.github.io/bc-demos/richmond/plumbers/drainbusters-plumbing-squad/,"Hi, it's Jag - I build websites for Richmond businesses & built DrainBusters Plumbing Squad a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/drainbusters-plumbing-squad/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Plug Busters,+16042788841,Richmond,Plumber,https://jaggyai.github.io/bc-demos/richmond/plumbers/plug-busters/,"Hi, it's Jag - I build websites for Richmond businesses & built Plug Busters a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/plug-busters/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Wheatley W G & Son Plumbing & Heating,+16042707548,Richmond,Plumber,https://jaggyai.github.io/bc-demos/richmond/plumbers/wheatley-w-g-son-plumbing-heating/,"Hi, it's Jag - I build websites for Richmond businesses & built Wheatley W G & Son Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/wheatley-w-g-son-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
EHP Sources,+16042732632,Richmond,Plumbing supply store,https://jaggyai.github.io/bc-demos/richmond/plumbers/ehp-sources/,"Hi, it's Jag - I build websites for Richmond businesses & built EHP Sources a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/ehp-sources/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
